Address,City,Name,URL,Program De,School dis,Image,result_num,status,formatted_,place_id,location_t,latlong
2101 Edison Drive,"San Antonio, TX",Whittier Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"2101 Edison Dr, San Antonio, TX 78201, USA",ChIJF6ZNelNeXIYR05k2PaZ0ilE,ROOFTOP,"29.4754169,-98.53013469999999"
515 Willow St.,"San Antonio, TX",Bowden Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"515 Willow St, San Antonio, TX 78202, USA",ChIJ9WoHheP1XIYR5Y3yiKU9E8s,ROOFTOP,"29.4319369,-98.46992829999999"
1214 Guadalupe St.,"San Antonio, TX",JT Brackenridge Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"1214 Guadalupe St, San Antonio, TX 78207, USA",ChIJ1Q5CKsxYXIYRH9HcROV2Yzs,ROOFTOP,"29.418139,-98.5142247"
318 Martin L. King Drive,"San Antonio, TX",Douglass Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"318 Martin Luther King Dr, San Antonio, TX 78203, USA",ChIJXXbMkBr2XIYR_04rParhWjk,ROOFTOP,"29.4130003,-98.4740006"
530 Hoover Ave,"San Antonio, TX",Graebner Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"530 Hoover Ave, San Antonio, TX 78225, USA",ChIJdaDOif1YXIYRZT6R3oWcsX0,ROOFTOP,"29.3848504,-98.52875429999999"
4826 Sea Breeze Drive,"San Antonio, TX",Hirsch Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"4826 Seabreeze Dr, San Antonio, TX 78220, USA",ChIJPZTqjMz2XIYRXcpgXZd-dcw,ROOFTOP,"29.400986,-98.3988"
314 Astor St,"San Antonio, TX",Japhet Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"314 Astor St, San Antonio, TX 78210, USA",ChIJ7YCUUzH2XIYRly6OJ7W8BCc,ROOFTOP,"29.3869967,-98.46785179999999"
107 Raleigh Pl,"San Antonio, TX",Maverick Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"107 Raleigh Pl, San Antonio, TX 78201, USA",ChIJm3b3H11eXIYRlA13EH1U-6o,ROOFTOP,"29.4784259,-98.5469959"
9210 S. Presa St,"San Antonio, TX",Mission Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"9210 S Presa St, San Antonio, TX 78223, USA",ChIJR2RrUtP5XIYRYsR1iVN2MkY,ROOFTOP,"29.3301199,-98.4399289"
3501 Martin L. King Drive,"San Antonio, TX",M.L. King Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"0",OK,"3501 Martin Luther King Dr, San Antonio, TX 78220, USA",ChIJ467TWZb2XIYRZpe42wBI3dQ,ROOFTOP,"29.41442929999999,-98.4210585"
