Address,City,Name,URL,Program Details,School District,Image,Formatted Address,latlong,lat,long
1111 S. Navidad St.,"San Antonio, TX",Barkley-Ruiz Elementary School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"1111 S Navidad St, San Antonio, TX 78207, USA","29.4160826,-98.5243435",29.4160826,-98.5243435
1411 W. Ashby Place,"San Antonio, TX",Beacon Hill Elementary School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"1411 W Ashby Pl, San Antonio, TX 78201, USA","29.4499657,-98.514521",29.4499657,-98.514521
510 Morningview Drive,"San Antonio, TX",Gates Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"510 Morningview Dr, San Antonio, TX 78220, USA","29.4099234,-98.4278566",29.4099234,-98.4278566
325 Pruitt Ave.,"San Antonio, TX",Harris Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"325 Pruitt Ave, San Antonio, TX 78204, USA","29.3994749,-98.5074873",29.3994749,-98.5074873
1130 E. Sunshine Drive,"San Antonio, TX",Longfellow Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"1130 E Sunshine Dr, San Antonio, TX 78228, USA","29.4732844,-98.56326",29.4732844,-98.56326
3000 Tampico St,"San Antonio, TX",Rhodes Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"3000 Tampico St, San Antonio, TX 78207, USA","29.4164376,-98.5414091",29.4164376,-98.5414091
202 School St.,"San Antonio, TX",Riverside Park Elementary School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"202 School St, San Antonio, TX 78210, USA","29.388482,-98.4822744",29.388482,-98.4822744
2101 Edison Drive,"San Antonio, TX",Whittier Middle School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"2101 Edison Dr, San Antonio, TX 78201, USA","29.4754169,-98.53013469999999",29.4754169,-98.5301347
515 Willow St.,"San Antonio, TX",Bowden Academy,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"515 Willow St, San Antonio, TX 78202, USA","29.4319369,-98.46992829999999",29.4319369,-98.4699283
1214 Guadalupe St.,"San Antonio, TX",JT Brackenridge Elementary,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"1214 Guadalupe St, San Antonio, TX 78207, USA","29.418139,-98.5142247",29.418139,-98.5142247
